"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","7.91","8.03","8.28","7.83","2.90M","-1.47%"
"09/16/2024","8.03","8.33","8.33","7.90","2.59M","-3.58%"
"09/15/2024","8.33","8.65","8.80","8.23","2.05M","-3.67%"
"09/14/2024","8.65","8.62","8.89","8.53","2.09M","0.34%"
"09/13/2024","8.62","8.51","8.72","8.16","3.02M","1.23%"
"09/12/2024","8.51","8.66","8.73","8.37","3.25M","-1.76%"
"09/11/2024","8.66","8.93","8.95","8.38","6.13M","-3.11%"
"09/10/2024","8.94","7.78","9.10","7.68","4.58M","14.97%"
"09/09/2024","7.78","7.41","7.85","7.40","2.06M","4.92%"
"09/08/2024","7.41","7.06","7.50","7.05","1.75M","5.06%"
"09/07/2024","7.06","7.03","7.22","7.00","1.47M","0.43%"
"09/06/2024","7.03","7.23","7.32","6.81","3.54M","-2.86%"
"09/05/2024","7.23","7.56","7.64","7.14","2.35M","-4.30%"
"09/04/2024","7.56","7.16","7.75","6.90","2.42M","5.68%"
"09/03/2024","7.15","7.52","7.64","7.15","1.43M","-4.91%"
"09/02/2024","7.52","7.19","7.55","7.12","1.45M","4.58%"
"09/01/2024","7.19","7.56","7.58","7.12","1.18M","-4.92%"
"08/31/2024","7.56","7.62","7.72","7.44","962.47K","-0.73%"
"08/30/2024","7.62","7.79","7.87","7.35","1.73M","-2.23%"
"08/29/2024","7.79","7.76","8.19","7.70","1.85M","0.46%"
"08/28/2024","7.76","7.72","7.98","7.52","2.01M","0.54%"
"08/27/2024","7.72","8.08","8.30","7.64","2.36M","-4.55%"
"08/26/2024","8.08","8.52","8.61","7.99","1.80M","-5.14%"
"08/25/2024","8.52","8.70","8.73","8.26","1.82M","-2.02%"
"08/24/2024","8.70","8.68","8.95","8.47","1.95M","0.25%"
"08/23/2024","8.68","8.03","8.73","8.03","2.99M","7.99%"
"08/22/2024","8.03","7.69","8.13","7.56","2.09M","4.55%"
"08/21/2024","7.69","7.26","7.81","7.22","2.18M","5.79%"
"08/20/2024","7.26","7.22","7.45","7.13","1.79M","0.55%"
"08/19/2024","7.22","7.14","7.24","6.96","2.23M","1.23%"
"08/18/2024","7.14","7.28","7.38","7.13","1.43M","-1.90%"
"08/17/2024","7.28","7.01","7.28","6.97","1.38M","3.79%"
"08/16/2024","7.01","6.94","7.18","6.83","1.82M","0.94%"
"08/15/2024","6.94","7.13","7.30","6.84","1.79M","-2.64%"
"08/14/2024","7.13","7.37","7.43","7.05","2.17M","-3.16%"
"08/13/2024","7.37","7.28","7.41","6.93","2.21M","1.13%"
"08/12/2024","7.28","6.82","7.33","6.82","3.88M","6.74%"
"08/11/2024","6.82","7.37","7.48","6.80","2.09M","-7.36%"
"08/10/2024","7.37","7.44","7.58","7.22","1.49M","-1.02%"
"08/09/2024","7.44","7.68","7.70","7.26","2.39M","-3.08%"
"08/08/2024","7.68","7.01","7.73","6.94","3.73M","9.61%"
"08/07/2024","7.01","7.67","7.76","6.93","3.64M","-8.52%"
"08/06/2024","7.66","7.06","7.83","7.05","4.06M","8.47%"
"08/05/2024","7.06","7.33","7.41","6.29","8.02M","-3.58%"
"08/04/2024","7.32","7.76","7.92","7.11","2.70M","-5.63%"
"08/03/2024","7.76","8.30","8.40","7.60","3.10M","-6.48%"
"08/02/2024","8.30","8.89","9.27","8.23","2.93M","-6.74%"
"08/01/2024","8.89","8.95","9.01","8.41","2.70M","-0.67%"
"07/31/2024","8.95","8.82","9.53","8.76","2.20M","1.48%"
"07/30/2024","8.82","8.93","9.18","8.74","1.76M","-1.23%"
"07/29/2024","8.93","9.34","9.75","8.92","2.45M","-4.48%"
"07/28/2024","9.35","9.68","9.80","9.24","1.35M","-3.41%"
"07/27/2024","9.68","9.71","10.12","9.41","2.67M","-0.32%"
"07/26/2024","9.71","9.92","10.01","9.53","3.09M","-2.09%"
"07/25/2024","9.92","9.50","9.93","9.33","3.28M","4.35%"
"07/24/2024","9.51","9.63","10.11","9.42","2.09M","-1.23%"
"07/23/2024","9.63","10.15","10.25","9.49","2.58M","-5.15%"
"07/22/2024","10.15","10.72","10.97","10.07","2.73M","-5.36%"
"07/21/2024","10.72","10.34","10.81","9.95","3.05M","3.71%"
"07/20/2024","10.34","10.15","10.59","10.06","2.95M","1.89%"
"07/19/2024","10.15","9.67","10.25","9.35","2.96M","4.88%"
"07/18/2024","9.67","10.26","10.43","9.56","2.88M","-5.66%"
"07/17/2024","10.25","9.63","10.44","9.54","6.29M","6.25%"
"07/16/2024","9.65","9.73","9.84","9.27","4.99M","-0.79%"
"07/15/2024","9.73","8.62","9.90","8.62","4.98M","12.86%"
"07/14/2024","8.62","8.46","8.99","8.43","4.59M","1.97%"
"07/13/2024","8.45","7.32","8.55","7.31","4.95M","15.52%"
"07/12/2024","7.32","7.36","7.48","7.03","1.80M","-0.63%"
"07/11/2024","7.36","7.22","7.69","7.14","2.46M","2.05%"
"07/10/2024","7.22","7.24","7.39","7.09","1.80M","-0.27%"
"07/09/2024","7.23","6.83","7.30","6.75","3.48M","5.97%"
"07/08/2024","6.83","6.91","7.37","6.64","4.92M","-1.21%"
"07/07/2024","6.91","7.55","7.65","6.87","3.69M","-8.47%"
"07/06/2024","7.55","6.81","7.56","6.70","3.64M","10.93%"
"07/05/2024","6.81","6.67","6.88","5.82","7.91M","2.03%"
"07/04/2024","6.67","7.33","7.33","6.62","4.96M","-8.97%"
"07/03/2024","7.33","7.86","7.89","7.26","2.54M","-6.81%"
"07/02/2024","7.86","8.06","8.14","7.84","1.91M","-2.51%"
"07/01/2024","8.07","8.17","8.34","8.05","1.33M","-1.31%"
"06/30/2024","8.17","7.94","8.21","7.79","1.38M","2.98%"
"06/29/2024","7.94","7.90","8.05","7.86","935.87K","0.52%"
"06/28/2024","7.90","8.25","8.31","7.88","1.89M","-4.25%"
"06/27/2024","8.25","8.12","8.32","7.97","1.40M","1.57%"
"06/26/2024","8.12","8.28","8.38","8.07","1.60M","-1.97%"
"06/25/2024","8.28","8.02","8.37","7.98","1.84M","3.33%"
"06/24/2024","8.02","7.89","8.07","7.62","3.38M","1.54%"
"06/23/2024","7.89","8.19","8.35","7.84","2.02M","-3.64%"
"06/22/2024","8.19","8.39","8.39","8.16","1.28M","-2.32%"
"06/21/2024","8.39","8.26","8.49","8.02","2.33M","1.53%"
"06/20/2024","8.26","8.38","8.77","8.21","2.97M","-1.45%"
"06/19/2024","8.38","8.12","8.49","8.03","2.48M","3.20%"
"06/18/2024","8.12","8.88","8.90","7.67","5.33M","-8.57%"
"06/17/2024","8.88","9.62","9.68","8.55","3.53M","-7.69%"
"06/16/2024","9.62","9.11","9.65","9.02","2.28M","5.80%"
"06/15/2024","9.10","9.31","9.38","9.01","2.26M","-2.31%"
"06/14/2024","9.31","9.82","9.91","9.09","3.42M","-5.21%"
"06/13/2024","9.82","10.50","10.52","9.69","3.97M","-6.49%"
"06/12/2024","10.50","10.08","10.84","9.84","4.99M","4.19%"
"06/11/2024","10.08","11.10","11.19","9.89","5.35M","-9.19%"
"06/10/2024","11.10","11.03","11.24","10.59","4.15M","0.61%"
"06/09/2024","11.03","10.88","11.08","10.79","1.87M","1.40%"
"06/08/2024","10.88","11.53","11.57","10.78","3.42M","-5.59%"
"06/07/2024","11.53","12.09","12.99","10.97","6.08M","-4.69%"
"06/06/2024","12.09","12.33","12.37","11.94","1.81M","-1.88%"
"06/05/2024","12.33","12.30","12.62","12.24","2.07M","0.24%"
"06/04/2024","12.30","11.98","12.39","11.93","3.13M","2.62%"
"06/03/2024","11.98","11.87","12.21","11.78","2.50M","0.95%"
"06/02/2024","11.87","12.08","12.18","11.78","1.71M","-1.77%"
"06/01/2024","12.08","11.85","12.18","11.84","1.49M","1.95%"
"05/31/2024","11.85","11.96","12.03","11.62","2.44M","-0.93%"
"05/30/2024","11.96","12.07","12.32","11.77","2.74M","-0.90%"
"05/29/2024","12.07","12.10","12.35","11.97","2.22M","-0.19%"
"05/28/2024","12.10","12.39","12.47","11.96","2.91M","-2.33%"
"05/27/2024","12.38","12.05","12.59","11.95","2.85M","2.77%"
"05/26/2024","12.05","12.33","12.54","12.00","1.83M","-2.31%"
"05/25/2024","12.33","12.42","12.48","12.21","1.48M","-0.65%"
"05/24/2024","12.42","12.29","12.45","11.94","2.10M","0.98%"
"05/23/2024","12.29","12.82","12.94","11.86","4.55M","-4.08%"
"05/22/2024","12.82","13.31","13.36","12.78","3.61M","-3.71%"
"05/21/2024","13.31","13.57","13.82","13.21","4.82M","-1.89%"
"05/20/2024","13.57","12.61","13.65","12.42","4.18M","7.58%"
"05/19/2024","12.61","13.23","13.46","12.54","2.74M","-4.64%"
"05/18/2024","13.23","13.10","13.62","12.97","3.50M","0.99%"
"05/17/2024","13.10","12.17","13.21","12.03","4.15M","7.64%"
"05/16/2024","12.17","12.49","12.59","11.94","3.79M","-2.61%"
"05/15/2024","12.49","11.83","12.72","11.74","4.20M","5.59%"
"05/14/2024","11.83","11.78","12.16","11.56","5.43M","0.38%"
"05/13/2024","11.79","11.72","12.20","11.21","5.05M","0.52%"
"05/12/2024","11.72","11.86","11.99","11.64","1.52M","-1.18%"
"05/11/2024","11.86","11.86","12.21","11.81","1.69M","0.09%"
"05/10/2024","11.85","12.17","12.48","11.66","4.31M","-2.53%"
"05/09/2024","12.16","12.03","12.34","11.80","4.07M","1.13%"
"05/08/2024","12.03","12.41","12.50","12.02","3.20M","-3.05%"
"05/07/2024","12.40","12.80","13.08","12.38","3.03M","-3.05%"
"05/06/2024","12.79","12.99","13.98","12.79","4.42M","-1.54%"
"05/05/2024","12.99","13.16","13.26","12.83","2.30M","-1.30%"
"05/04/2024","13.16","13.61","13.62","13.07","2.55M","-3.26%"
"05/03/2024","13.61","13.51","13.93","12.95","4.03M","0.75%"
"05/02/2024","13.51","13.16","13.65","12.89","2.81M","2.62%"
"05/01/2024","13.16","12.86","13.35","12.17","3.96M","2.35%"
"04/30/2024","12.86","13.43","13.61","12.39","3.68M","-4.26%"
"04/29/2024","13.43","13.58","13.83","13.12","2.36M","-0.98%"
"04/28/2024","13.57","13.30","14.11","13.29","2.26M","1.99%"
"04/27/2024","13.30","13.05","13.57","12.64","2.29M","1.91%"
"04/26/2024","13.05","13.78","13.85","13.01","2.18M","-5.34%"
"04/25/2024","13.79","13.70","14.10","13.28","3.11M","0.61%"
"04/24/2024","13.70","14.46","14.97","13.57","3.96M","-5.22%"
"04/23/2024","14.46","15.08","15.25","14.45","2.71M","-4.12%"
"04/22/2024","15.08","15.09","15.60","14.76","3.56M","-0.10%"
"04/21/2024","15.09","15.51","16.38","14.89","4.10M","-2.71%"
"04/20/2024","15.52","14.04","15.68","13.87","4.67M","10.57%"
"04/19/2024","14.03","12.77","14.44","11.81","5.66M","9.93%"
"04/18/2024","12.76","11.86","12.91","11.56","3.96M","7.62%"
"04/17/2024","11.86","12.25","12.49","11.40","4.22M","-3.15%"
"04/16/2024","12.25","12.36","12.52","11.80","4.81M","-0.89%"
"04/15/2024","12.36","12.89","13.73","11.96","5.61M","-4.16%"
"04/14/2024","12.89","12.33","13.07","11.68","6.66M","4.60%"
"04/13/2024","12.33","13.94","13.94","10.85","10.16M","-11.57%"
"04/12/2024","13.94","15.51","15.83","12.77","7.11M","-10.15%"
"04/11/2024","15.51","15.96","16.34","15.36","3.30M","-2.76%"
"04/10/2024","15.95","16.07","16.21","15.11","4.45M","-0.70%"
"04/09/2024","16.07","17.79","17.87","15.99","3.93M","-9.70%"
"04/08/2024","17.79","17.13","18.11","16.83","2.74M","3.87%"
"04/07/2024","17.13","17.03","17.51","16.91","1.91M","0.56%"
"04/06/2024","17.03","16.85","17.21","16.72","1.76M","1.09%"
"04/05/2024","16.85","17.85","17.97","16.56","3.37M","-5.58%"
"04/04/2024","17.85","17.84","18.42","17.48","3.73M","0.04%"
"04/03/2024","17.84","17.91","19.10","17.37","5.11M","-0.38%"
"04/02/2024","17.91","18.06","18.53","16.59","6.80M","-0.84%"
"04/01/2024","18.06","18.77","19.30","17.46","6.34M","-3.81%"
"03/31/2024","18.77","17.89","19.00","17.60","4.15M","4.94%"
"03/30/2024","17.89","17.20","18.62","17.17","4.78M","3.99%"
"03/29/2024","17.20","18.04","18.71","17.00","4.96M","-4.63%"
"03/28/2024","18.04","18.39","18.79","17.39","7.89M","-1.88%"
"03/27/2024","18.39","19.04","20.96","18.25","14.63M","-3.45%"
"03/26/2024","19.04","17.67","20.35","17.31","15.37M","7.76%"
"03/25/2024","17.67","15.13","17.91","15.08","15.52M","16.81%"
"03/24/2024","15.13","13.48","15.29","13.48","7.58M","12.23%"
"03/23/2024","13.48","13.35","13.85","12.85","4.09M","1.00%"
"03/22/2024","13.35","12.73","13.92","12.51","8.51M","4.83%"
"03/21/2024","12.73","11.92","13.07","11.63","5.60M","6.76%"
"03/20/2024","11.93","10.93","11.97","10.57","5.10M","9.10%"
"03/19/2024","10.93","12.37","12.57","10.72","6.68M","-11.64%"
"03/18/2024","12.37","12.58","12.80","11.78","3.69M","-1.68%"
"03/17/2024","12.58","12.22","12.75","11.59","3.48M","2.80%"
"03/16/2024","12.24","12.88","13.25","11.96","4.76M","-4.80%"
"03/15/2024","12.86","13.93","14.09","12.08","6.81M","-7.72%"
"03/14/2024","13.93","14.50","14.66","13.18","5.54M","-3.94%"
"03/13/2024","14.50","14.73","14.88","14.06","4.49M","-1.55%"
"03/12/2024","14.73","15.01","15.29","13.68","6.06M","-1.84%"
"03/11/2024","15.01","14.15","15.32","13.38","6.14M","6.06%"
"03/10/2024","14.15","14.77","14.83","13.74","4.21M","-4.18%"
"03/09/2024","14.76","14.65","15.32","14.50","4.90M","0.81%"
"03/08/2024","14.65","14.92","15.16","14.01","6.14M","-1.85%"
"03/07/2024","14.92","15.34","15.80","14.37","5.99M","-2.74%"
"03/06/2024","15.34","14.06","15.60","13.64","9.67M","9.31%"
"03/05/2024","14.04","13.36","16.93","12.34","22.52M","5.04%"
"03/04/2024","13.36","13.19","13.73","12.80","6.83M","1.39%"
"03/03/2024","13.18","13.29","13.88","12.74","6.12M","-0.83%"
