"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","0.00000732","0.00000719","0.00000764","0.00000711","25,347.40B","1.81%"
"09/16/2024","0.00000719","0.00000735","0.00000739","0.00000708","21,516.45B","-2.31%"
"09/15/2024","0.00000736","0.00000776","0.00000782","0.00000734","12,590.82B","-5.15%"
"09/14/2024","0.00000776","0.00000790","0.00000794","0.00000764","13,600.21B","-1.77%"
"09/13/2024","0.00000790","0.00000741","0.00000804","0.00000731","21,997.14B","6.61%"
"09/12/2024","0.00000741","0.00000724","0.00000750","0.00000723","18,010.84B","2.35%"
"09/11/2024","0.00000724","0.00000747","0.00000747","0.00000698","25,197.78B","-3.08%"
"09/10/2024","0.00000747","0.00000738","0.00000756","0.00000729","22,057.02B","1.22%"
"09/09/2024","0.00000738","0.00000706","0.00000760","0.00000696","26,852.85B","4.53%"
"09/08/2024","0.00000706","0.00000677","0.00000737","0.00000671","22,802.06B","4.28%"
"09/07/2024","0.00000677","0.00000665","0.00000702","0.00000665","17,094.92B","1.80%"
"09/06/2024","0.00000665","0.00000710","0.00000727","0.00000634","29,669.93B","-6.34%"
"09/05/2024","0.00000710","0.00000736","0.00000740","0.00000702","14,283.82B","-3.53%"
"09/04/2024","0.00000736","0.00000726","0.00000751","0.00000688","27,775.38B","1.38%"
"09/03/2024","0.00000726","0.00000761","0.00000776","0.00000725","14,703.21B","-4.60%"
"09/02/2024","0.00000761","0.00000714","0.00000768","0.00000708","19,804.14B","6.43%"
"09/01/2024","0.00000715","0.00000759","0.00000764","0.00000708","16,515.06B","-5.80%"
"08/31/2024","0.00000759","0.00000776","0.00000787","0.00000752","11,242.61B","-2.19%"
"08/30/2024","0.00000776","0.00000766","0.00000792","0.00000737","24,884.26B","1.31%"
"08/29/2024","0.00000766","0.00000768","0.00000820","0.00000755","26,626.93B","-0.26%"
"08/28/2024","0.00000768","0.00000764","0.00000812","0.00000739","42,621.02B","0.52%"
"08/27/2024","0.00000764","0.00000852","0.00000870","0.00000758","36,486.36B","-10.33%"
"08/26/2024","0.00000852","0.00000914","0.00000926","0.00000842","29,772.08B","-6.78%"
"08/25/2024","0.00000914","0.00000949","0.00000952","0.00000869","34,013.92B","-3.69%"
"08/24/2024","0.00000949","0.00000906","0.00000982","0.00000886","44,959.31B","4.75%"
"08/23/2024","0.00000906","0.00000799","0.00000928","0.00000795","46,712.71B","13.39%"
"08/22/2024","0.00000799","0.00000791","0.00000808","0.00000773","21,915.86B","1.01%"
"08/21/2024","0.00000791","0.00000776","0.00000807","0.00000752","25,736.02B","1.93%"
"08/20/2024","0.00000776","0.00000767","0.00000828","0.00000763","39,216.00B","1.17%"
"08/19/2024","0.00000767","0.00000729","0.00000770","0.00000717","22,555.53B","5.21%"
"08/18/2024","0.00000729","0.00000749","0.00000762","0.00000728","18,718.50B","-2.67%"
"08/17/2024","0.00000749","0.00000718","0.00000769","0.00000710","22,711.95B","4.32%"
"08/16/2024","0.00000718","0.00000744","0.00000758","0.00000688","39,126.94B","-3.49%"
"08/15/2024","0.00000744","0.00000801","0.00000806","0.00000722","31,887.38B","-7.12%"
"08/14/2024","0.00000801","0.00000818","0.00000846","0.00000792","27,119.76B","-2.08%"
"08/13/2024","0.00000818","0.00000824","0.00000836","0.00000789","23,458.73B","-0.73%"
"08/12/2024","0.00000824","0.00000772","0.00000849","0.00000771","43,252.42B","6.74%"
"08/11/2024","0.00000772","0.00000844","0.00000877","0.00000766","33,671.00B","-8.53%"
"08/10/2024","0.00000844","0.00000852","0.00000871","0.00000829","16,812.62B","-0.94%"
"08/09/2024","0.00000852","0.00000876","0.00000896","0.00000832","42,719.59B","-2.74%"
"08/08/2024","0.00000876","0.00000735","0.00000888","0.00000720","56,909.32B","19.18%"
"08/07/2024","0.00000735","0.00000775","0.00000838","0.00000726","59,907.76B","-5.16%"
"08/06/2024","0.00000775","0.00000704","0.00000818","0.00000704","72,048.85B","10.09%"
"08/05/2024","0.00000704","0.00000810","0.00000822","0.00000588","173,124.49B","-13.09%"
"08/04/2024","0.00000810","0.00000864","0.00000876","0.00000772","49,126.23B","-6.25%"
"08/03/2024","0.00000864","0.00000933","0.00000954","0.00000829","38,050.84B","-7.40%"
"08/02/2024","0.00000933","0.00001053","0.00001059","0.00000925","35,695.80B","-11.40%"
"08/01/2024","0.00001053","0.00001104","0.00001115","0.00000979","34,739.38B","-4.62%"
"07/31/2024","0.00001104","0.00001131","0.00001164","0.00001090","16,467.11B","-2.39%"
"07/30/2024","0.00001131","0.00001180","0.00001203","0.00001106","17,976.47B","-4.15%"
"07/29/2024","0.00001180","0.00001175","0.00001240","0.00001170","24,494.50B","0.43%"
"07/28/2024","0.00001175","0.00001190","0.00001198","0.00001155","10,386.19B","-1.26%"
"07/27/2024","0.00001190","0.00001204","0.00001248","0.00001160","23,297.99B","-1.16%"
"07/26/2024","0.00001204","0.00001147","0.00001211","0.00001142","22,027.32B","4.97%"
"07/25/2024","0.00001147","0.00001222","0.00001226","0.00001090","39,798.80B","-5.91%"
"07/24/2024","0.00001219","0.00001253","0.00001313","0.00001200","38,225.18B","-2.71%"
"07/23/2024","0.00001253","0.00001189","0.00001272","0.00001162","42,998.32B","5.38%"
"07/22/2024","0.00001189","0.00001249","0.00001266","0.00001175","22,639.75B","-4.80%"
"07/21/2024","0.00001249","0.00001222","0.00001273","0.00001162","30,588.45B","2.21%"
"07/20/2024","0.00001222","0.00001269","0.00001275","0.00001193","30,658.14B","-3.70%"
"07/19/2024","0.00001269","0.00001164","0.00001300","0.00001131","44,791.76B","9.02%"
"07/18/2024","0.00001164","0.00001167","0.00001222","0.00001123","42,052.78B","-0.26%"
"07/17/2024","0.00001167","0.00001237","0.00001287","0.00001155","46,865.97B","-5.66%"
"07/16/2024","0.00001237","0.00001131","0.00001262","0.00001115","103,893.93B","9.37%"
"07/15/2024","0.00001131","0.00000920","0.00001143","0.00000913","69,559.85B","22.93%"
"07/14/2024","0.00000920","0.00000868","0.00000934","0.00000861","30,083.50B","5.99%"
"07/13/2024","0.00000868","0.00000868","0.00000894","0.00000847","18,396.26B","0.00%"
"07/12/2024","0.00000868","0.00000891","0.00000898","0.00000830","34,014.53B","-2.58%"
"07/11/2024","0.00000891","0.00000921","0.00000975","0.00000881","34,456.59B","-3.26%"
"07/10/2024","0.00000921","0.00000908","0.00000943","0.00000877","31,032.11B","1.43%"
"07/09/2024","0.00000908","0.00000915","0.00000958","0.00000890","34,531.64B","-0.77%"
"07/08/2024","0.00000915","0.00000840","0.00000950","0.00000778","74,828.97B","8.93%"
"07/07/2024","0.00000840","0.00000973","0.00000974","0.00000835","33,645.74B","-13.67%"
"07/06/2024","0.00000973","0.00000886","0.00000990","0.00000874","36,076.24B","9.82%"
"07/05/2024","0.00000886","0.00000892","0.00000917","0.00000770","92,607.27B","-0.67%"
"07/04/2024","0.00000892","0.00001025","0.00001037","0.00000887","52,386.65B","-12.98%"
"07/03/2024","0.00001025","0.00001132","0.00001135","0.00001000","33,087.08B","-9.45%"
"07/02/2024","0.00001132","0.00001143","0.00001163","0.00001100","20,208.02B","-0.96%"
"07/01/2024","0.00001143","0.00001192","0.00001215","0.00001132","22,100.33B","-4.11%"
"06/30/2024","0.00001192","0.00001131","0.00001192","0.00001083","23,578.32B","5.39%"
"06/29/2024","0.00001131","0.00001159","0.00001185","0.00001128","12,673.48B","-2.42%"
"06/28/2024","0.00001159","0.00001260","0.00001265","0.00001144","24,864.47B","-7.94%"
"06/27/2024","0.00001259","0.00001253","0.00001270","0.00001212","26,885.53B","0.48%"
"06/26/2024","0.00001253","0.00001285","0.00001328","0.00001213","33,168.01B","-2.26%"
"06/25/2024","0.00001282","0.00001131","0.00001306","0.00001128","50,500.44B","13.35%"
"06/24/2024","0.00001131","0.00001092","0.00001132","0.00001020","46,572.83B","3.57%"
"06/23/2024","0.00001092","0.00001143","0.00001184","0.00001083","21,277.57B","-4.38%"
"06/22/2024","0.00001142","0.00001141","0.00001163","0.00001118","16,122.01B","0.09%"
"06/21/2024","0.00001141","0.00001100","0.00001170","0.00001060","37,417.21B","3.73%"
"06/20/2024","0.00001100","0.00001136","0.00001225","0.00001094","41,383.51B","-3.25%"
"06/19/2024","0.00001137","0.00001098","0.00001187","0.00001077","38,454.57B","3.55%"
"06/18/2024","0.00001098","0.00001117","0.00001123","0.00000978","60,478.79B","-1.70%"
"06/17/2024","0.00001117","0.00001232","0.00001241","0.00001087","38,861.12B","-9.33%"
"06/16/2024","0.00001232","0.00001185","0.00001244","0.00001146","20,849.88B","3.97%"
"06/15/2024","0.00001185","0.00001138","0.00001227","0.00001134","25,446.95B","4.13%"
"06/14/2024","0.00001138","0.00001190","0.00001227","0.00001060","43,608.61B","-4.37%"
"06/13/2024","0.00001190","0.00001321","0.00001332","0.00001172","37,505.38B","-9.92%"
"06/12/2024","0.00001321","0.00001274","0.00001388","0.00001212","57,566.57B","3.69%"
"06/11/2024","0.00001274","0.00001208","0.00001300","0.00001145","52,794.46B","5.46%"
"06/10/2024","0.00001208","0.00001275","0.00001309","0.00001206","26,339.15B","-5.25%"
"06/09/2024","0.00001275","0.00001211","0.00001294","0.00001187","28,787.62B","5.20%"
"06/08/2024","0.00001212","0.00001280","0.00001322","0.00001200","34,826.08B","-5.31%"
"06/07/2024","0.00001280","0.00001434","0.00001452","0.00001154","56,525.60B","-10.74%"
"06/06/2024","0.00001434","0.00001460","0.00001518","0.00001426","25,282.10B","-1.58%"
"06/05/2024","0.00001457","0.00001436","0.00001506","0.00001409","35,900.75B","1.46%"
"06/04/2024","0.00001436","0.00001444","0.00001478","0.00001400","34,006.30B","-0.55%"
"06/03/2024","0.00001444","0.00001462","0.00001548","0.00001436","38,602.28B","-1.23%"
"06/02/2024","0.00001462","0.00001486","0.00001505","0.00001391","36,679.70B","-1.62%"
"06/01/2024","0.00001486","0.00001542","0.00001573","0.00001475","30,091.06B","-3.63%"
"05/31/2024","0.00001542","0.00001441","0.00001576","0.00001429","53,838.66B","7.01%"
"05/30/2024","0.00001441","0.00001476","0.00001521","0.00001318","74,450.57B","-2.37%"
"05/29/2024","0.00001476","0.00001601","0.00001653","0.00001442","53,484.73B","-7.81%"
"05/28/2024","0.00001601","0.00001671","0.00001710","0.00001568","61,951.38B","-4.19%"
"05/27/2024","0.00001671","0.00001604","0.00001722","0.00001601","62,908.70B","4.44%"
"05/26/2024","0.00001600","0.00001495","0.00001636","0.00001467","59,470.89B","7.02%"
"05/25/2024","0.00001495","0.00001414","0.00001580","0.00001411","56,381.56B","5.73%"
"05/24/2024","0.00001414","0.00001492","0.00001515","0.00001345","58,122.61B","-5.23%"
"05/23/2024","0.00001492","0.00001340","0.00001565","0.00001310","124,314.03B","11.34%"
"05/22/2024","0.00001340","0.00001382","0.00001427","0.00001256","91,546.60B","-3.04%"
"05/21/2024","0.00001382","0.00001140","0.00001408","0.00001085","124,117.92B","21.23%"
